Mês/Ano,Região,Estado,Produção
11/2023,NORDESTE,Ceará,"1726793000,000"
11/2023,SUDESTE,Rio de Janeiro,"3544679294,000"
11/2023,SUDESTE,São Paulo,"652622564,000"
10/2023,NORDESTE,Ceará,"2058088000,000"
10/2023,SUDESTE,Rio de Janeiro,"3897429900,000"
10/2023,SUDESTE,São Paulo,"861202899,000"
09/2023,NORDESTE,Ceará,"1962794000,000"
09/2023,SUDESTE,Rio de Janeiro,"3380932950,000"
09/2023,SUDESTE,São Paulo,"771509726,000"
08/2023,NORDESTE,Ceará,"2113252000,000"
08/2023,SUDESTE,Rio de Janeiro,"3724225240,000"
08/2023,SUDESTE,São Paulo,"790230434,000"
07/2023,NORDESTE,Ceará,"2232205000,000"
07/2023,SUDESTE,Rio de Janeiro,"4028086730,000"
07/2023,SUDESTE,São Paulo,"671686405,000"
06/2023,NORDESTE,Ceará,"2139708000,000"
06/2023,SUDESTE,Rio de Janeiro,"2733077240,000"
06/2023,SUDESTE,São Paulo,"775042691,000"
05/2023,NORDESTE,Ceará,"2439020000,000"
05/2023,SUDESTE,Rio de Janeiro,"3225840420,000"
05/2023,SUDESTE,São Paulo,"362850233,000"
04/2023,NORDESTE,Ceará,"2382615000,000"
04/2023,SUDESTE,Rio de Janeiro,"3454918780,000"
04/2023,SUDESTE,São Paulo,"112405903,000"
03/2023,NORDESTE,Ceará,"2752477000,000"
03/2023,SUDESTE,Rio de Janeiro,"3441360350,000"
03/2023,SUDESTE,São Paulo,"357081303,000"
02/2023,NORDESTE,Ceará,"1521883000,000"
02/2023,SUDESTE,Rio de Janeiro,"3191145180,000"
02/2023,SUDESTE,São Paulo,"332654067,000"
01/2023,NORDESTE,Ceará,"2523983000,000"
01/2023,SUDESTE,Rio de Janeiro,"3036906490,000"
01/2023,SUDESTE,São Paulo,"321826094,000"
12/2022,NORDESTE,Ceará,"2435403000,000"
12/2022,SUDESTE,Rio de Janeiro,"3052473770,000"
12/2022,SUDESTE,São Paulo,"284486365,000"
11/2022,NORDESTE,Ceará,"2371997000,000"
11/2022,SUDESTE,Rio de Janeiro,"1648458870,000"
11/2022,SUDESTE,São Paulo,"262773785,000"
10/2022,NORDESTE,Ceará,"2139388000,000"
10/2022,SUDESTE,Rio de Janeiro,"3651424010,000"
10/2022,SUDESTE,São Paulo,"205192297,000"
09/2022,NORDESTE,Ceará,"2125088000,000"
09/2022,SUDESTE,Rio de Janeiro,"3212714250,000"
09/2022,SUDESTE,São Paulo,"196547463,000"
08/2022,NORDESTE,Ceará,"2158200000,000"
08/2022,SUDESTE,Rio de Janeiro,"3099926000,000"
08/2022,SUDESTE,São Paulo,"80796788,000"
07/2022,NORDESTE,Ceará,"2558126000,000"
07/2022,SUDESTE,Rio de Janeiro,"2643186001,000"
07/2022,SUDESTE,São Paulo,"79950710,000"
06/2022,NORDESTE,Ceará,"2557430000,000"
06/2022,SUDESTE,Rio de Janeiro,"2596059140,000"
05/2022,NORDESTE,Ceará,"2713341000,000"
05/2022,SUDESTE,Rio de Janeiro,"1822405110,000"
04/2022,NORDESTE,Ceará,"2747443000,000"
04/2022,SUDESTE,Rio de Janeiro,"1959551360,000"
03/2022,NORDESTE,Ceará,"2450917000,000"
03/2022,SUDESTE,Rio de Janeiro,"1618339270,000"
02/2022,NORDESTE,Ceará,"2291289000,000"
02/2022,SUDESTE,Rio de Janeiro,"1415950000,000"
01/2022,NORDESTE,Ceará,"2113843000,000"
01/2022,SUDESTE,Rio de Janeiro,"1893361250,000"
12/2021,NORDESTE,Ceará,"727221000,000"
12/2021,SUDESTE,Rio de Janeiro,"1831215280,000"
11/2021,NORDESTE,Ceará,"2217294000,000"
11/2021,SUDESTE,Rio de Janeiro,"1904491190,000"
10/2021,NORDESTE,Ceará,"2367847000,000"
10/2021,SUDESTE,Rio de Janeiro,"1981864930,000"
09/2021,NORDESTE,Ceará,"2223972230,000"
09/2021,SUDESTE,Rio de Janeiro,"2202671260,000"
08/2021,NORDESTE,Ceará,"2345568000,000"
08/2021,SUDESTE,Rio de Janeiro,"2281057600,000"
07/2021,NORDESTE,Ceará,"2194629000,000"
07/2021,SUDESTE,Rio de Janeiro,"2522563050,000"
06/2021,NORDESTE,Ceará,"2246702000,000"
06/2021,SUDESTE,Rio de Janeiro,"2490944500,000"
05/2021,NORDESTE,Ceará,"2360935000,000"
05/2021,SUDESTE,Rio de Janeiro,"2500568990,000"
04/2021,NORDESTE,Ceará,"2187025000,000"
04/2021,SUDESTE,Rio de Janeiro,"1926202980,000"
03/2021,NORDESTE,Ceará,"2085566000,000"
03/2021,SUDESTE,Rio de Janeiro,"1885190310,000"
02/2021,NORDESTE,Ceará,"1802761000,000"
02/2021,SUDESTE,Rio de Janeiro,"1895520380,000"
01/2021,NORDESTE,Ceará,"1832177000,000"
01/2021,SUDESTE,Rio de Janeiro,"1425247600,000"
12/2020,NORDESTE,Ceará,"1720012000,000"
12/2020,SUDESTE,Rio de Janeiro,"1861512500,000"
11/2020,NORDESTE,Ceará,"1722957000,000"
11/2020,SUDESTE,Rio de Janeiro,"2102627710,000"
10/2020,NORDESTE,Ceará,"1916434000,000"
10/2020,SUDESTE,Rio de Janeiro,"2187595320,000"
09/2020,NORDESTE,Ceará,"1880002000,000"
09/2020,SUDESTE,Rio de Janeiro,"1836423370,000"
08/2020,NORDESTE,Ceará,"1956427000,000"
08/2020,SUDESTE,Rio de Janeiro,"1245037710,000"
07/2020,NORDESTE,Ceará,"2218781000,000"
07/2020,SUDESTE,Rio de Janeiro,"2118130860,000"
06/2020,NORDESTE,Ceará,"2111745000,000"
05/2020,NORDESTE,Ceará,"2364125990,000"
04/2020,NORDESTE,Ceará,"2236560000,000"
03/2020,NORDESTE,Ceará,"2418989290,000"
02/2020,NORDESTE,Ceará,"2084682000,000"
01/2020,NORDESTE,Ceará,"2161394000,000"
